201501 50962 116.118928672990,30.179523924949 116.119203105320,30.173398300275 211632 143115 68517
201501 65380 116.119203105320,30.173398300275 116.345495246340,30.446236666220 211614 143097 68517
201501 384311 119.246248422870,30.937213344770 119.400589975590,30.883950758489 211133 164448 46685
201501 200494 117.429723407040,31.832947611057 117.428284231790,31.831914300135 210970 156146 54824
201501 51059 116.348627727490,30.448902576849 116.119644981800,30.184291797303 209858 131091 78767
201501 151729 117.112953036750,31.997905427938 117.112748582420,31.995512646003 209238 168545 40693
201501 101088 116.570083122150,30.586087881823 116.630537466020,30.634520137528 208728 145033 63695
201501 177707 117.274905123590,31.798907168002 117.270781092820,31.724541477715 208018 169821 38197
201501 157728 117.148358850120,31.857717038873 117.147533217530,31.860100103467 208004 180079 27925
201501 100988 116.683627411490,32.622377722580 116.611845794460,32.645085020355 206708 158952 47756
201501 174774 117.365060591690,32.011646989855 117.256778306530,32.025947913007 205398 125627 79771
201501 211613 117.533977151310,31.890236157576 117.507665243940,31.944791060608 204280 114887 89393
201501 185328 117.312492382060,31.807115169633 117.313670240240,31.806972324003 203720 175141 28579
201501 328939 118.483228441340,31.340421447202 118.480976658910,31.342871965271 203352 140283 63069
201501 66654 116.553866192440,31.861762637742 116.347497120170,31.853010148305 202893 110777 92116
201501 120654 117.017835418850,32.530821587974 116.848260491120,32.582493745720 202731 163256 39475
201501 329462 118.543016961160,31.563570730937 118.488112258900,31.383886092605 202652 158343 44309
201501 215593 117.535888026790,31.887527127189 117.533977151310,31.890236157576 202601 113823 88778
201501 119779 116.678753834610,32.623683819162 116.841329884450,32.585693413698 202305 155720 46585
201501 194366 117.264021703180,33.018646478800 117.386912412200,33.005920329266 202051 106971 95080
201501 174146 117.290840614180,31.801219725186 117.251649700710,31.795576943097 201604 149863 51741
201501 93481 116.345495246340,30.446236666220 116.566248255930,30.584104769620 201072 134173 66899
201501 215833 117.538012788810,31.897860315522 117.537696315780,31.897679521617 200727 137420 63307
201501 254133 117.626381257760,31.718423018060 117.853942704470,31.626088270732 200496 135494 65002
201501 254294 117.853942704470,31.626088270732 117.854103052000,31.626077201798 200480 135479 65001
201501 94266 116.566248255930,30.584104769620 116.567010468150,30.584492923437 200004 133387 66617
201501 337027 118.473333067160,31.350733589619 118.554010603660,31.271024361905 199367 134200 65167
201501 137607 117.118647485210,31.990661585759 117.013963003450,31.955711262903 198424 114335 84089
201501 152073 117.111927531180,32.064288824030 117.114622896870,32.190761536317 197462 169452 28010
201501 199900 117.509875344980,31.883116349422 117.423548993950,31.833561165046 197202 161541 35661
201501 176599 117.395785245210,33.007164279394 117.263610818240,33.018714215241 197191 120987 76204
201501 262294 117.921463299140,31.648773715455 117.896607006020,31.668099124129 196984 132801 64183
201501 127938 116.798270418300,31.901512367590 116.947495043180,31.935232117616 196567 135486 61081
201501 168062 117.270781092820,31.724541477715 117.215225388560,31.631900968445 195135 159286 35849
201501 159676 117.256778306530,32.025947913007 117.154397978410,31.999159249591 194633 118196 76437
201501 180013 117.264106503220,31.717867130263 117.286112562790,31.796598311906 194550 129728 64822
201501 328220 118.476233515990,31.342819072635 118.478024557520,31.346836591501 192237 150529 41708
201501 156542 117.114622896870,32.190761536317 117.139920976640,32.376962062023 192059 164910 27149
201501 328712 118.480719563880,31.353087776712 118.479925461810,31.351312196594 191085 127675 63410
201501 153566 117.154397978410,31.999159249591 117.120934840530,31.991200962533 190510 115149 75361
201501 210950 117.503820855680,31.877193304579 117.501634110570,31.875644046293 189432 125797 63635
201501 165180 117.215225388560,31.631900968445 117.203808913660,31.525206833289 187672 152934 34738
201501 185049 117.311818742760,31.802620335211 117.311263410290,31.805279409850 186860 145916 40944
201501 142816 117.050397017310,34.136150236847 117.047906734780,34.136166372145 186241 86546 99695
201501 153061 117.120673433630,31.991224313762 117.118188630760,31.990788295566 185032 146657 38375
201501 143147 117.053208803390,34.136355438772 117.050397017310,34.136150236847 184950 85494 99456
