201709 176831 117.267354147130,31.724206616245 117.267495091270,31.722634263673 171854 165455 6399
201709 174774 117.365060591690,32.011646989855 117.256778306530,32.025947913007 171675 107124 64551
201709 177291 117.270122814540,31.730738689886 117.268508020560,31.726937379344 170677 132386 38291
201709 334412 118.488790749050,31.621772823018 118.535639178010,31.621090434911 170056 111843 58213
201709 136968 116.841329884450,32.585693413698 117.014286213780,32.532222332794 169483 145236 24247
201709 360397 118.885387960520,30.985487109018 118.887843478630,30.968494408763 169223 125300 43923
201709 314138 118.244268575680,31.062505020123 118.346100578120,31.157769933142 169218 129349 39869
201709 152120 117.147682605740,31.861217280153 117.113185608050,31.982371241320 168722 152713 16009
201709 98462 116.549594210750,34.156310062242 116.603820782190,34.148253825219 168466 107845 60621
201709 330206 118.551296104070,31.622096373301 118.494200973650,31.622178087056 168328 94081 74247
201709 242826 117.767306258370,30.842730339614 117.762219513590,30.848166703449 168276 126220 42056
201709 215594 117.535888026790,31.887527127189 117.535783104710,31.887787272407 168112 137160 30952
201709 175313 117.255553287310,33.018225603491 117.264021703180,33.018646478800 167184 93492 73692
201709 320051 118.346100578120,31.157769933142 118.394078626250,31.207842314263 166913 127323 39590
201709 210659 117.501634110570,31.875644046293 117.502215853220,31.875906141862 166449 139021 27428
201709 165178 117.215223681780,31.631897817073 117.203807206880,31.525203678271 165348 143239 22109
201709 289524 117.981207263010,31.609007400534 118.103047044420,31.553588552016 164452 114563 49889
201709 242618 117.762219513590,30.848166703449 117.765790547480,30.853197636170 164284 122710 41574
201709 277870 117.918009853440,31.650654490341 117.980394296530,31.609691877016 164153 124081 40072
201709 123629 116.630537466020,30.634520137528 116.883298358550,30.786875821512 163559 103368 60191
201709 174146 117.290840614180,31.801219725186 117.251649700710,31.795576943097 163224 127851 35373
201709 54580 116.339942460660,31.852025448412 116.177784841530,31.854763059601 162845 82462 80383
201709 242636 117.765790547480,30.853197636170 117.765650771150,30.853730096930 162626 121540 41086
201709 337234 118.554010603660,31.271024361905 118.555846919780,31.269591523189 162542 120197 42345
201709 283752 118.075151424430,30.990938813774 118.023493647440,30.965641996524 162123 112797 49326
201709 159676 117.256778306530,32.025947913007 117.154397978410,31.999159249591 161102 98866 62236
201709 328939 118.483228441340,31.340421447202 118.480976658910,31.342871965271 160198 112283 47915
201709 282176 117.951628308340,30.911661261357 118.016316455910,30.962645040163 160040 115604 44436
201709 299068 118.218732983930,31.470818520582 118.217178645900,31.469955073828 159683 130752 28931
201709 26307 115.818143110270,34.071459920126 115.820281436700,34.110066151837 159621 76961 82660
201709 147459 117.083358810880,30.476063719421 117.090096731020,30.528357475501 158670 116870 41800
201709 199085 117.461465840710,32.417583946748 117.415637078340,32.539347860125 158571 105791 52780
201709 106210 116.848260491120,32.582493745720 116.684754335750,32.622119237855 158539 133079 25460
201709 184967 117.278141898000,31.799648079571 117.311649052840,31.802669435963 158514 111699 46815
201709 136312 116.886525700760,30.788279948340 117.008527446640,31.026289008737 158050 102189 55861
201709 151240 117.118188630760,31.990788295566 117.111928339660,32.064288747530 158026 130824 27202
201709 287913 118.228483910580,31.058639164901 118.080617433800,31.000289178739 157141 106618 50523
201709 130421 116.952816874510,33.617650897221 116.955062458620,33.617716361540 156821 115344 41477
201709 153566 117.154397978410,31.999159249591 117.120934840530,31.991200962533 156677 95841 60836
201709 334056 118.486864332890,31.379738841272 118.531967803390,31.488559746517 156209 123791 32418
201709 121604 116.603820782190,34.148253825219 116.864060337580,34.096853880897 155543 99152 56391
201709 101646 116.894583321520,30.799875534766 116.632698789080,30.635885179330 155421 109814 45607
201709 199347 117.311649052840,31.802669589403 117.420128605890,31.830633094947 154778 83452 71326
201709 298428 118.103047044420,31.553588552016 118.211687933130,31.472714240764 154374 106298 48076
201709 335655 118.541933604720,31.725308099328 118.542318348970,31.648039039336 153919 120401 33518
201709 143272 117.014286213780,32.532222332794 117.055868506340,32.510368780936 153739 130151 23588
201709 137347 117.013963003450,31.955711262903 117.010555640820,31.954928113356 153265 87077 66188
201709 335767 118.531967803390,31.488559746517 118.543043012020,31.560318585408 152950 121005 31945
201709 211623 117.507665243940,31.944791060608 117.507774028740,31.945109488357 152781 87026 65755
201709 287646 118.080617433800,31.000289178739 118.075151424430,30.990938813774 152653 103590 49063
201709 326670 118.494200973650,31.622178087056 118.451961840090,31.615944572356 152400 84791 67609
201709 360514 118.887843478630,30.968494408763 118.888108927910,30.964827602986 152215 111906 40309
201709 262295 117.921464017780,31.648774176547 117.896607006020,31.668099124129 152108 93844 58264
201709 312931 118.451961840090,31.615944572356 118.328113447570,31.623946176625 151869 84326 67543
201709 128997 116.907753288770,33.882789936864 116.943073134300,33.717667131417 151649 78121 73528
201709 336119 118.545746731950,31.719470971438 118.545146843530,31.762782586351 151187 126832 24355
201709 151461 117.112786580740,31.997642611619 117.111983136290,31.993603734222 151113 121241 29872
201709 374532 118.888108927910,30.964827602986 119.133929152750,30.962742971295 151015 111046 39969
201709 163792 117.203808913660,31.525206833289 117.199332567470,31.325196674455 150998 128658 22340
201709 216818 117.386912412200,33.005920329266 117.546345919880,33.002390408917 150910 84074 66836
201709 329504 118.490895838190,31.624607865871 118.489253466220,31.621452730814 150634 118952 31682
201709 299108 118.073495398230,30.988490384047 118.219538314820,31.057528672754 150611 110291 40320
201709 48825 116.177784841530,31.854763059601 116.073047449580,31.836500798450 150610 74774 75836
201709 164911 117.008527446640,31.026289008737 117.203311432070,31.264466026194 150513 96858 53655
201709 180013 117.264106503220,31.717867130263 117.286112562790,31.796598311906 149022 93894 55128
201709 336164 118.545146843530,31.762782586351 118.545663998010,31.763681056400 148855 125561 23294
201709 100875 116.873326448750,34.098597068433 116.614566761850,34.148936934110 148546 93300 55246
201709 266396 117.920423510510,31.647240802475 117.920483068170,31.647761459343 148129 106887 41242
201709 266393 117.920373834220,31.647010175518 117.920413629150,31.647140666950 147895 104860 43035
201709 146763 117.090403951500,30.528862819062 117.085333915210,30.533638876733 147819 111161 36658
201709 303263 118.217178645900,31.469955073828 118.258006002520,31.416646889965 147799 121898 25901
201709 272809 118.023493647440,30.965641996524 117.953155517530,30.914193241187 147496 101956 45540
201709 334579 118.535639178010,31.621090434911 118.538873167680,31.621095431576 146971 92224 54747
201709 183971 117.300003240550,32.734043518019 117.304383468050,32.831508701709 146875 96583 50292
201709 158018 117.147353736090,31.858433398570 117.148358850120,31.857717038873 146828 125582 21246
201709 314634 118.293588243090,32.124722190756 118.350361151320,32.129467540972 146149 100748 45401
201709 183205 117.415637078340,32.539347860125 117.300743983280,32.731029392447 146147 96141 50006
201709 140157 116.864060337580,34.096853880897 117.033566634770,34.132323319280 146023 91613 54410
201709 32871 115.897944170080,33.184287024631 115.895615762200,33.184954261070 145874 77994 67880
201709 303260 118.211687933130,31.472714240764 118.258005194040,31.416654902314 145704 99475 46229
201709 262294 117.921463299140,31.648773715455 117.896607006020,31.668099124129 145698 103286 42412
201709 386194 119.517159578230,30.904737454866 119.514924504290,30.906455730798 145379 119904 25475
201709 386273 119.518043151530,30.905258549231 119.517159578230,30.904737454866 145378 119904 25474
201709 199900 117.509875344980,31.883116349422 117.423548993950,31.833561165046 145370 120939 24431
201709 66159 116.347497120170,31.853010148305 116.339942460660,31.852025448412 145331 73898 71433
201709 171374 117.148844474080,31.865321451111 117.241698182440,31.795927042479 145049 113248 31801
201709 303532 118.258006002520,31.416646889965 118.259558993080,31.414515580602 144940 119418 25522
201709 174147 117.286036655970,31.796729665000 117.251649970210,31.795577173275 144592 134428 10164
201709 125083 116.894969233570,30.801015807081 116.894583321520,30.799875534766 144267 99605 44662
