timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1525692448422373,-3,-9,-12,-8,0,-11,92,-107
1525692448422373,3,19,24,6,-6,-1,-65,30
1525692448438374,-1,6,-14,-2,-5,-85,44,-16
1525692448438374,32,-16,-4,-4,-4,-51,-81,108
1525692448440374,23,20,-12,-2,12,73,88,-79
1525692448440374,-59,-42,-14,-11,8,67,-90,-97
1525692448461375,9,-22,-11,-2,-17,-70,47,102
1525692448461375,-5,-7,-8,-1,5,4,-15,-128
1525692448463375,-17,4,-3,2,-8,-119,9,127
1525692448463375,31,-3,-23,-15,6,114,88,-11
1525692448475376,4,20,5,6,-10,-126,-25,41
1525692448475376,-23,-8,1,-8,-21,121,-69,-53
1525692448482376,21,-30,-18,-9,-13,26,-36,105
1525692448482376,-4,-19,-4,2,-6,-92,-11,-27
1525692448498377,-5,42,29,12,54,92,62,-128
1525692448498377,3,-22,-11,1,9,-82,-35,97
1525692448500377,-10,27,20,5,-33,-77,-5,-26
1525692448500377,-32,-29,-21,-14,-52,-41,119,69
1525692448521379,33,16,6,-4,36,-15,-97,-33
1525692448521379,25,-8,-10,-1,-13,-128,65,51
1525692448523379,-30,1,-7,-9,-12,-46,-44,-86
1525692448523379,81,53,14,6,8,-68,71,51
1525692448535379,-12,8,8,14,35,55,0,-71
1525692448535379,-75,-25,-16,-7,10,100,78,-48
1525692448542380,34,-4,3,2,-25,-124,-128,101
1525692448542380,24,22,1,20,-5,-68,-44,-77
1525692448558381,-21,13,-11,-19,-31,96,-113,-83
1525692448558381,-8,-83,-5,3,11,-122,-23,-54
1525692448560381,14,47,16,11,81,127,3,-128
1525692448560381,-24,-25,-6,-4,0,-48,3,-47
1525692448581382,-18,-32,-7,-6,-47,-128,-128,45
1525692448581382,-31,-45,5,-3,21,94,78,42
1525692448582382,19,15,-47,-10,-30,-95,34,-73
1525692448582382,-30,-5,-5,-14,28,3,-45,-11
1525692448594383,30,14,18,10,-19,-37,60,15
1525692448594383,17,10,5,0,8,-56,49,88
1525692448603383,17,-18,4,-4,16,94,-13,57
1525692448603383,-38,-6,-1,9,-15,-128,-34,0
1525692448618384,8,6,-10,-13,-11,84,19,-49
1525692448618384,10,75,10,-4,-18,68,125,-86
1525692448620384,8,-38,9,3,-22,26,-32,75
1525692448620384,31,39,14,12,15,-38,10,-75
1525692448640385,-31,-56,0,2,-9,-60,-31,18
1525692448640385,14,51,11,0,3,103,-39,-86
1525692448642386,-23,28,20,4,3,11,-62,-24
1525692448642386,21,-28,-8,-11,-7,31,-64,-45
1525692448654386,-47,10,1,7,27,78,25,127
1525692448654386,13,-37,-4,6,-30,-116,-63,127
1525692448663387,-1,21,39,11,35,-27,-63,-80
1525692448663387,-3,37,-66,-5,3,45,62,125
1525692448678388,15,-26,-23,-8,-8,-105,-55,-64
1525692448678388,-6,-7,-25,-2,-18,-12,16,-12
1525692448680388,-15,10,3,1,3,26,87,8
1525692448680388,4,-52,30,4,4,109,-3,9
1525692448701389,22,57,14,10,15,-128,74,16
1525692448701389,4,9,-5,-8,-13,34,21,12
1525692448702389,-11,-52,-20,-4,-4,10,43,-16
1525692448702389,-7,29,12,-5,1,52,-3,39
1525692448715390,2,-25,-11,-1,-11,-13,111,-87
1525692448715390,-28,7,22,-6,25,56,-24,-10
1525692448722390,5,-13,-9,4,14,8,14,46
1525692448722390,0,7,5,0,-9,-37,-20,33
1525692448738391,5,10,11,1,0,-77,-48,35
1525692448738391,9,10,1,1,-3,-56,-2,-26
1525692448740391,-22,-2,-3,4,3,-55,43,-40
1525692448740391,24,26,7,0,1,27,-32,-6
1525692448761392,-20,-1,-1,-6,-10,47,3,4
1525692448761392,5,-23,14,3,-4,-14,8,11
1525692448762392,-17,-37,-59,-11,-6,-31,-2,20
1525692448762392,8,28,23,-1,-1,46,8,-27
1525692448775393,0,-33,-18,-8,4,-43,-42,8
1525692448775393,6,-9,0,8,14,73,23,56
1525692448782394,2,14,24,2,-1,71,-27,-68
1525692448782394,3,-9,3,4,12,-49,-19,-8
1525692448798395,8,9,2,3,-4,9,1,-52
1525692448798395,0,8,-7,0,-5,-75,7,-50
1525692448800395,15,-18,11,2,-3,-10,-8,109
1525692448800395,-3,11,-1,-1,2,-10,0,-3
1525692448821396,-6,-18,2,-4,-11,11,-4,13
1525692448821396,4,17,-3,-1,1,-32,-21,-5
1525692448823396,-9,-1,-2,-1,-6,-2,-5,-35
1525692448823396,-5,-5,1,-5,-5,-9,1,-14
1525692448834397,15,-6,-5,-3,0,9,-21,33
1525692448834397,-19,2,-1,-4,0,12,-10,-6
1525692448843397,2,-1,7,11,0,0,-8,10
1525692448843397,-8,-17,-2,-6,-4,-2,8,4
1525692448858398,4,-7,-2,-6,1,50,-7,28
1525692448858398,0,9,7,10,-3,-26,-12,-3
1525692448860398,-5,-8,-7,-6,-1,-27,11,-11
1525692448860398,-3,-15,-8,-4,-4,-19,-10,0
1525692448882399,-9,4,-3,0,-3,18,-2,1
1525692448882399,5,3,-3,-6,-7,-43,-8,-2
1525692448884399,3,4,8,1,1,-7,-5,2
1525692448884399,-8,19,-4,-5,-3,-1,1,-4
1525692448894400,2,-65,-12,-6,-2,27,-12,17
1525692448894400,3,32,19,5,1,-8,-2,3
1525692448903401,-1,-11,12,-1,0,-15,3,3
1525692448903401,-5,-9,-23,-6,-1,2,-4,-3
1525692448918401,-3,21,-4,-3,-2,7,-1,1
1525692448918401,4,3,8,7,2,-7,-3,1
1525692448920402,4,15,3,-3,-1,3,-1,-6
1525692448920402,-2,-36,24,3,1,3,3,-1
1525692448941403,0,2,-8,-1,0,12,-7,6
1525692448941403,-1,-12,-20,-9,-3,3,-3,-1
1525692448942403,0,20,6,-6,-3,0,-3,0
1525692448942403,-3,-11,2,5,1,-2,3,1
1525692448954403,3,8,2,8,1,3,0,5
1525692448954403,-1,-5,-10,4,0,-3,-4,0
1525692448963404,-3,-7,-13,-15,-5,-4,3,-5
1525692448963404,-3,-4,6,15,-1,-5,-2,1
1525692448978405,2,15,8,5,1,10,-3,1
1525692448978405,-2,2,0,-18,-1,2,2,-1
1525692448980405,3,-8,-12,-7,3,0,-3,2
1525692448980405,-7,-10,-21,5,2,0,1,-2
1525692449001406,4,6,7,-3,-4,5,-1,6
1525692449001406,0,5,-2,5,-4,-3,-2,-2
1525692449003406,1,2,14,-21,-3,-6,-1,-1
1525692449003406,0,-3,-1,14,-3,-22,0,3
1525692449014407,-1,-22,0,12,8,14,0,1
1525692449014407,3,57,7,-3,2,31,-1,1
1525692449023407,-6,-41,-21,-2,-5,-8,0,-4
1525692449023407,-3,-42,-30,-18,-3,2,0,-3
1525692449037408,-6,23,6,-17,-8,-29,-8,-2
1525692449037408,1,-4,14,14,0,-8,-1,0
1525692449044409,4,62,31,17,5,10,0,2
1525692449044409,6,13,58,-1,6,3,2,2
